Va !	Ir !
Fantastique !	Fantástico!
Sensass !	Sensato!
Sens ça !	Senso!
Sentez ça !	Sinta isso!
Touche ça !	Toque isso!
Touchez ça !	Toque isso!
Filmez ceci.	Filme isso.
Filme ceci.	Filmes isso.
Suis-moi.	Me siga.
Suis-nous !	Siga-nos !
Suivez-nous !	Siga-nos !
Oublie !	Esquecer !
Oublie-le !	Esqueça-o !
Oubliez !	Esquecer !
Oubliez-le !	Esqueça!
Laissez tomber.	Derrubar.
Oubliez ça !	Esqueça isso !
Laisse tomber.	Largue.
Oublie.	Esquecer.
Oublie-le !	Esqueça-o !
Laissez tomber.	Derrubar.
Oubliez ça !	Esqueça isso !
Oublie-moi.	Me esqueça.
Oubliez-moi.	Me esqueça.
Trouve un emploi !	Encontre um emprego!
Trouve un boulot !	Encontre um emprego!
Trouvez un emploi !	Encontre um emprego!
Trouvez un boulot !	Encontre um emprego!
Vas-y.	Vá em frente.
Allez-y.	Vá em frente.
Marche.	Andar.
Avance.	Avançar.
En avant.	Avançar.
Déplace-toi.	Mova-se.
Déplacez-vous.	Mover.
En route.	A caminho.
Prépare-toi.	Prepare-se.
Préparez-vous.	Preparem-se.
Va plus vite.	Vá mais rápido.
Allez plus vite.	Vá mais rápido.
Va le chercher !	Vá e pegue!
Allez le chercher !	Vai buscar!
Entrez !	Entre !
Va dormir !	Vá dormir !
Va au lit !	Ir para a cama !
Au lit !	Na cama!
Allez au lit !	Ir para a cama !
File au lit !	Arquivo na cama!
Au dodo !	Para a cama!
Va te coucher !	Ir para a cama !
Bonne chance !	Boa sorte !
Bonne chance.	Boa sorte.
Bonne continuation !	Boa continuação !
Attrape ça !	Pega isso!
Attrapez ça !	Pega isso!
Saisis-toi de ça !	Aproveite!
Saisissez-vous de ça !	Digite isso!
Attrape ça !	Pega isso!
Attrapez ça !	Pega isso!
Pas touche !	Não toque !
Ne touche pas à ça !	Não toque nisso!
Prenez-en.	Tome alguns.
Prends-en.	Tome alguns.
Il est malade.	Ele está doente.
Il est vieux.	Ele é velho.
Il est DJ.	Ele é dj.
Il est bon.	É bom.
Il est paresseux.	Ele é preguiçoso.
Il est à moi.	Ele é meu.
Il est riche.	Ele é rico.
Il est sexy.	Ele é sexy.
Dirigez-vous vers l'est.	Cabeça para o leste.
Dirige-toi vers l'est.	Cabeças leste.
Dirigez-vous vers l'ouest.	Cabeça para o oeste.
Dirige-toi vers l'ouest.	Vamos para o oeste.
Me voici.	Aqui estou.
Voilà cinq dollars.	Isso é cinco dólares.
Halte au feu !	Cessar fogo!
Cessez le feu !	Cessar fogo!
Tiens ça !	Pegue isso !
Tenez ça !	Mantê-la!
Tenez ceci !	Mantenha isso!
Tiens ceci !	Aqui esta!
C'est affreux !	É horrível !
C'est horrible !	É horrível !
Comme c'est bizarre !	Que estranho!
Comment Tom va-t-il ?	Como é Tom?
Comment va Tom ?	Como é Tom?
Mettez Tom de bonne humeur.	Tom Tom de bom humor.
Mets Tom de bonne humeur.	Coloque Tom de bom humor.
J'ai froid.	Estou com frio.
Je suis bon.	Eu estou bem.
Je suis ici.	Eu estou aqui.
Je vais bien.	Estou bem.
Je suis malade.	Estou doente.
Je suis sûr.	Eu estou ligado.
Je suis certain.	Tenho certeza.
Je suis faible.	Eu sou fraco.
Je vous en prie.	De nada.
Je vous en conjure.	Eu te imploro.
Je vous en supplie.	Eu te imploro.
Je te prie.	Eu te imploro.
J'ai cligné des yeux.	Eu pisquei.
Je sais voler.	Eu sei voar.
Je sais courir.	Eu sei como correr.
Je sais skier.	Eu sei esquiar.
J'ai triché.	Eu trapaceei.
J'acclamais.	Eu aclamei.
Je suis tombée.	Caí.
Je suis tombé.	Caí.
Je me suis écrasé.	Eu me esmaguei.
Je me suis écrasée.	Eu me esmaguei.
J'eus un mouvement de recul.	Eu tive um passo para trás.
J'ai eu un mouvement de recul.	Eu tive um passo para trás.
Je suis rentré en moi-même.	Eu voltei para mim.
J’ai expiré.	Eu expirei.
J'ai froncé les sourcils.	Eu dei as sobrancelhas.
J'ai abandonné.	Eu deixei cair.
Je donne ma langue au chat.	Eu dou minha língua ao gato.
J'abandonne.	Estou desistindo.
J'ai jubilé.	Eu jubilei.
Je me suis mis à avoir chaud.	Eu me coloquei quente.
Je me suis mise à avoir chaud.	Eu comecei a ser quente.
J'ai souri.	Eu sorri.
J'ai gémi.	Eu tenho ginásio.
J'ai grogné.	Eu resmunguei.
Je me suis amusé.	Eu me diverti.
Je me suis amusée.	Eu me diverti.
Je me suis marré.	Eu ri.
Je me suis marrée.	Eu medula.
Je déteste ça.	Eu odeio isso.
Je l'ai.	Eu entendi.
J'ai frappé Tom.	Eu atingi Tom.
J'espère bien.	Espero que sim.
Je me suis dépêché.	Eu despachei-me.
Je me suis dépêchée.	Eu me joguei.
Je me suis précipité.	Eu me apressava.
Je me suis précipitée.	Eu me corri.
J’ai inspiré.	Eu inspirei.
Je le savais.	Eu sabia.
Ça me plaît.	Eu gosto disso.
J'aime ça.	Eu gosto disso.
J'aime bien.	Eu gosto.
Je l’ai perdu.	Eu perdi isso.
J'adore ça !	Eu amo isso !
J'adore ça !	Eu amo isso !
Je suis sérieux !	Estou falando sério !
Je suis sérieux.	Estou falando sério.
Je dois y aller.	Eu tenho que ir.
Il faut que j'y aille.	Eu tenho que ir.
Il me faut y aller.	Eu tenho que ir.
Il me faut partir.	Eu preciso sair.
Il me faut m'en aller.	Eu tenho que ir.
Je dois partir.	Eu tenho que ir.
Je dois m'en aller.	Eu tenho que ir embora.
Il faut que je m'en aille.	Eu tenho que ir.
J'en ai besoin.	Eu preciso disso.
Il me le faut.	Eu preciso disso.
J'ai remarqué.	Percebi.
J'ai payé d'avance.	Eu paguei antecipadamente.
Je le promets.	Eu prometo.
Promis.	Prometido.
Je me suis détendu.	Eu relaxei.
Je me suis détendue.	Eu relaxei.
J'ai pris ma retraite.	Eu me aposentei.
Je suis parti à la retraite.	Eu fui a aposentadoria.
Je suis partie à la retraite.	Eu saí para se aposentar.
J'ai dit non.	Eu disse não.
Je l'ai dit.	Eu disse isso.
J'ai vu Tom.	Eu vi Tom.
Je voyais Tom.	Eu vi Tom.
Je l'ai vu.	Eu vi.
Je l’ai vu.	Eu vi.
Je le vis.	Eu vivo isso.
J'en ai vu une.	Eu vi um.
J'en ai vu un.	Eu vi um.
Je vous vis.	Eu vivo você.
Je te vis.	Eu vi você.
Je t'ai vue.	Eu vi você.
Je t'ai vu.	Eu vi você.
Je vous ai vues.	Eu vi você.
Je vous ai vus.	Eu vi você.
Je vous ai vue.	Eu vi você.
Je vous ai vu.	Eu vi você.
Je vois Tom.	Eu vejo Tom.
Je te vois.	Eu te vejo.
J'ai crié.	Eu gritei.
J'ai trébuché.	Eu tropecei.
J'ai plané.	Eu pairou.
Je le veux.	Quero isso.
J'étais nouveau.	Eu era novo.
J'étais nouvelle.	Eu era novo.
J'irai.	Eu vou.
Je me suis réveillé.	Eu acordei.
Je me suis éveillé.	Eu acordei.
Je serais d'accord.	Eu concordaria.
Je partirais.	Eu deveria sair.
J'appellerai.	Eu ligarei.
Je viendrai.	Eu vou vir.
Je cuisinerai.	Eu vou cozinhar.
J'aiderai.	Eu ajudarei.
Je vivrai.	Eu vou viver.
J'obéirai.	Eu obedecerei.
Je ferai mon sac.	Eu farei minha bolsa.
Je ferai ma valise.	Eu farei minha mala.
Je plierai mes gaules.	Eu vou dobrar minhas galas.
Je passerai.	Eu vou.
J'abandonnerai.	Eu vou abandonar.
Je chanterai.	Eu vou cantar.
Je vais rester.	Eu vou ficar.
J'arrêterai.	Eu irei parar.
Je nagerai.	Eu vou nadar.
Je parlerai.	Eu vou falar.
Je vais parler.	Eu vou falar.
J'attendrai.	Vou esperar.
Je marcherai.	Vou caminhar.
Je vais travailler.	Estou indo ao trabalho.
Je travaillerai.	Eu vou trabalhar.
Je suis flic.	Eu sou policial.
Je suis un homme.	Eu sou um homem.
Je suis en vie.	Eu estou vivo.
Je suis vivant.	Eu estou vivo.
Je suis vivante.	Eu estou vivo.
Je suis seule.	Estou sozinho.
Je suis seul.	Estou sozinho.
Je suis énervé.	Estou chateado.
Je suis en colère.	Eu estou bravo.
Je suis armé.	Eu estou armado.
Je suis armée.	Eu estou armado.
Je suis réveillé.	Eu estou acordado.
Je suis aveugle.	Eu sou cego.
Je suis courageux.	Eu sou corajoso.
Je suis courageuse.	Eu sou corajoso.
Je suis brave.	Eu sou corajoso.
Je suis fauché.	Estou falido.
J'ai décroché.	Eu obtive.
Je suis propre.	Eu estou limpo.
Je suis fou.	Eu sou louco.
Je suis folle.	Eu sou louco.
Je suis guéri.	Eu estou curado.
Je suis guérie.	Eu estou curado.
Je suis sale.	Estou sujo.
J'ai la tête qui tourne.	Estou tonto.
Je suis saoul.	Eu estou bêbado.
Je suis soûl.	Eu estou bêbado.
Je suis ivre.	Eu estou bêbado.
Je me meurs.	Estou morrendo.
Je suis en avance.	Estou adiantado.
Je suis en premier.	Eu sou primeiro.
Je suis difficile.	Eu sou difícil.
Je suis tatillon.	Eu sou exigente.
Je suis tatillonne.	Eu sou exigente.
Je pars maintenant.	Estou saindo agora.
Je me tire.	Estou fora daqui.
J’y vais.	Eu vou.
Je pars.	Eu deixo.
Je suis loyal.	Eu sou leal.
Je suis loyale.	Eu sou leal.
Je suis veinard.	Eu sou Veinard.
Je suis veinarde.	Eu sou Veinarde.
J'ai du pot.	Eu tenho um pote.
Je suis chanceux.	Estou com sorte.
Je suis chanceuse.	Eu sou sortudo.
Je suis en train de mentir.	Eu estou mentindo.
Je suis nu.	Estou nu.
Je suis nue.	Estou nu.
Je me trouve nu.	Eu me vejo nu.
Je me trouve nue.	Eu me vejo nu.
Je suis à poil.	Eu sou briwn.
Je suis dans le besoin.	Eu estou precisando.
Je suis tranquille.	Eu estou calmo.
Je suis prête !	Estou pronto !
Je suis prêt !	Estou pronto !
Je suis prêt.	Estou pronto.
J'ai raison.	Eu estou certo.
Je suis petite.	Eu sou pequeno.
Je suis sobre.	Eu sou sóbrio.
Excuse-moi.	Com licença.
Désolé.	Desculpa.
Excusez-moi.	Com licença.
Désolé !	Desculpa !
Je suis désolé.	Sinto muito.
Je suis désolée.	Eu sinto Muito.
Je suis coincée.	Estou preso.
Je suis timide.	Eu sou tímido.
Je suis fatigué !	Estou cansado !
Je suis dur.	Eu sou difícil.
Je suis dure.	Eu sou difícil.
Je suis dur à cuire.	Eu sou difícil de cozinhar.
Je suis dure à cuire.	Eu sou difícil de cozinhar.
Je suis à toi.	Sou seu.
Je suis à vous.	Sou seu.
J'ai perdu.	Eu perdi.
Est-ce que Tom va bien ?	Tom vai bem?
Tom va-t-il bien ?	Tom vai bem?
C'est grave ?	É sério ?
Est-ce grave ?	Isso é ruim ?
Est-ce éloigné ?	Está distante?
Est-ce loin ?	É longe ?
Est-ce chaud ?	Está quente?
Est-ce toi ?	É você ?
Est-ce vous ?	Isso é você ?
Est-ce que c'est vous ?	É você ?
C'est toi ?	É você ?
Ça a échoué.	Falhou.
Il pleuvait à verse.	Choveu muito.
Il a neigé.	Nevou.
Ça sent mauvais.	Isso cheira mal.
Ça pue.	Isso fede.
C'était bon.	Foi bom.
C'était correct.	Foi ok.
C'était OK.	Foi ok.
Ça a fonctionné.	Funcionou.
Ça a marché.	Funcionou.
Il est trois heures et demie.	São três e meia.
Il est huit heures trente.	É oito horas e trinta.
Il est 8 h 30.	É 8:30.
C'est une télé.	É uma TV.
Il fait froid.	Está frio.
C'est froid.	Está frio.
C'est sombre.	Está escuro.
Elle est morte.	Ela está morta.
C'est mort.	Está morto.
Il est mort.	Ele está morto.
C'est fait.	Está feito.
C'est simple.	É simples.
C'est de la nourriture.	É comida.
C'est gratuit.	É grátis.
Il est plein.	Ele está cheio.
Elle est ici.	Ela está aqui.
C'est ici.	Está aqui.
C'est le sien.	Isso é dele.
C'est la sienne.	É dele.
Il est tard.	Está tarde.
C'est perdu.	Está perdido.
C'est le mien.	É meu.
C'est la mienne.	É meu.
C'est à moi.	É meu.
Il s'agit du mien.	Isso é meu.
C'est ouvert.	Está aberto.
C'est le nôtre.	É nosso.
C'est la nôtre.	É nosso.
C'est à nous.	É nosso.
C'est sûr.	É certo.
C'est du sable.	É areia.
Il est temps !	Está na hora !
C'est l'heure.	Está na hora.
C'est vrai !	É verdade !
C'est du boulot.	É um trabalho.
Saute.	Pulou para cima.
Reste à distance.	Permanece remotamente.
Reculez.	Retornar.
Reste à l'écart.	Fica longe.
Restez à l'écart.	Ficar longe.
Recule.	Voltar.
Restez en arrière.	Fique atrás.
Restez en retrait.	Ficar retirado.
Reste en arrière.	Fique atrás.
Reste en retrait.	Permanece para trás.
Restez calme.	Fique calmo.
Gardez votre calme.	Fique calmo.
Garde ça.	Guardar isso.
Gardez cela.	Mantenha isso.
Garde-le.	Mantê-la.
Gardez-les.	Mantenha-os.
Garde-les.	Mantenha-os.
Garde ça.	Guardar isso.
Gardez ceci.	Mantenha isso.
Gardez au chaud.	Mantenha morno.
Garde au chaud.	Guarda quente.
Romps avec Tom.	Brincou com Tom.
Rompez avec Tom.	Quebrar com Tom.
Quitte Tom.	Deixe Tom.
Quittez Tom.	Quit tom.
Ainsi soit-il.	Que assim seja.
Laisse faire.	Esquece.
Laisse tomber.	Largue.
Abandonne !	Abandonado!
Laisse tomber !	Deixa para lá !
Laissez tomber !	Derrubar !
Du calme !	Calma!
Renonce !	Renúncia!
Abandonnez !	Abandono!
Abandonne !	Abandonado!
Laisse !	Coleira !
Tranquille.	Calma.
Laisse-moi partir !	Me deixar ir !
Laissez-moi partir !	Me deixar ir !
Lâche-moi !	Solte-me !
Lâchez-moi !	Me deixar ir !
Laisse-moi m'en aller !	Me deixar ir !
Laissez-moi m'en aller !	Me deixar ir!
Laissez-moi y aller !	Deixe-me ir lá!
Laisse-moi y aller !	Deixe-me ir lá!
Laisse-moi partir !	Me deixar ir !
Laissez-moi partir !	Me deixar ir !
Laisse-moi m'en aller !	Me deixar ir !
Laissez-moi m'en aller !	Me deixar ir!
Laissez-moi rentrer.	Deixe-me voltar.
Laissez-moi entrer.	Deixe-me entrar.
Demandons.	Perguntar.
Mangeons.	Vamos comer.
Voyons voir !	Vamos ver !
Reste allongé, immobile !	Fique alongado, imóvel!
Reste allongée, immobile !	Fique deitado, imóvel!
Restez allongé, immobile !	Fique deitado, imóvel!
Restez allongée, immobile !	Fique alongado, imóvel!
Restez allongés, immobiles !	Fique deitado, imóvel!
Restez allongées, immobiles !	Fique alongado, imóvel!
Détourne le regard.	Olha para longe.
Regardez ailleurs.	Olhe para outro lugar.
Regarde derrière toi !	Olhe atrás de você !
Regarde derrière !	Olhar para trás !
Regarde derrière toi !	Olhe atrás de você !
Regarde derrière toi.	Olhe atrás de você.
Regardez derrière vous.	Olhe atrás de você.
Regarde ici.	Olhe aqui.
Regardez ici.	Olhe aqui.
Reste cool.	Fique calmo.
Détendez-vous !	Relaxar!
Du calme !	Calma!
Calmez-vous !	Acalmar !
Échauffe-toi !	Aregue-se!
Échauffez-vous !	Tenha a si mesmo!
Détends-toi !	Relaxar !
Laisse-toi aller !	Solte-se !
Laissez-vous aller !	Solte-se!
Tranquillisez-vous.	Tranqüilizar a si mesmo.
Du calme.	Calma.
Tranquille.	Calma.
Bouge de là.	Saia daqui.
Poussez-vous.	Cai fora.
Pousse-toi.	Te empurra.
Poussez-vous de là.	Empurre-se de lá.
Joli coup !	Boa tentativa !
Pour sûr.	Com certeza.
Mais ouais !	Mas sim !
Pardi !	Pardi!
Bien sûr.	Certo.
Pour sûr.	Com certeza.
Je vous en prie !	Obrigado !
Je t'en prie !	De nada !
Pardon ?	Desculpa ?
Je vous demande pardon ?	Eu imploro seu perdão ?
Qu'avez-vous dit ?	O que você disse ?
Qu'as-tu dit ?	O que você disse ?
Plaît-il ?	Prazer ?
Je vous demande pardon.	Eu imploro seu perdão.
Plait-il ?	Prazer ?
Qu'as-tu dit ?	O que você disse ?
Hein ?	Hein?
Pardon ?	Desculpa ?
Qu'est-ce que tu as dit ?	O que você disse ?
Quoi ?	O que ?
Je vous demande pardon ?	Eu imploro seu perdão ?
Lis ceci.	Leia isso.
Reposez-vous ici.	Descanse aqui.
Repose-toi ici.	Descanse aqui.
Dis « ahhh » !	"Diga ""ahhh""!"
Faites aaah !	Fazer aaah!
Fais aaah !	Aaah!
Dis bonjour.	Diga olá.
Voyez ci-dessus.	Veja acima.
Voyez ci-dessous.	Veja abaixo.
Voir ci-dessous.	Veja abaixo.
Capturez-le !	Capture-o!
Attrapez-le !	Pega isso!
Attrapez-le !	Pega isso!
Capturez-le !	Capture-o!
Vraiment ?	Verdadeiramente ?
C'est vrai ?	É verdade ?
Est-ce sérieux ?	Isto é sério?
Vrai ?	Verdade ?
Sans blague ?	Sem brincadeiras ?
Ah bon ?	Ah bom ?
Sérieusement ?	Seriamente?
Ah vraiment ?	Ah realmente?
Vraiment ?	Verdadeiramente ?
Elle pleurait.	Ela chorou.
Elle pleura.	Ela chorou.
Elle a essayé.	Ela tentou.
Elle marche.	Ela caminha.
Elle est chaude.	Ela é quente.
Elle est très attirante.	Ela é muito atraente.
Signe ici.	Assine aqui.
Signez ici.	Assine aqui.
Signe ça.	Assine isso.
Signez ceci.	Assine isso.
Reste assis sans bouger.	Fique sentado sem se mover.
Restez assis sans bouger.	Fique sentado sem se mover.
Restez assis.	Fique sentado.
Restez assise.	Fique sentado.
Reste assise.	Permanece sentado.
Restez assises.	Fique assizido.
Doucement !	Suavemente !
Calmos !	Calmos!
Ralentis !	Desacelerar!
Ralentissez !	Desacelerar !
Doucement !	Suavemente !
Calmos !	Calmos!
Commencez maintenant.	Comece agora.
Commence maintenant.	Comece agora.
Reste à l'écart.	Fica longe.
Restez à l'écart.	Ficar longe.
Restes-y.	Repousa-y.
Restez-y.	Fique lá.
Reste en arrière !	Fique atrás!
Restez en arrière !	Fique atrás!
Reste à l'écart.	Fica longe.
Ne t'approche pas.	Não se aproxime de você.
Restez calme.	Fique calmo.
Reste calme.	Fique calmo.
Garde ton calme.	Fique calmo.
Garde ton sang-froid.	Mantenha sua frieza.
Reste tranquille.	Fique calmo.
Gardez votre calme.	Fique calmo.
On reste calme.	Nós ficamos calmos.
Du calme.	Calma.
On reste cool.	Nós ficamos legais.
Restez cool.	Fique calmo.
Reste baissé.	Permanece descartado.
Restez baissé.	Fique abaixado.
Reste baissé.	Permanece descartado.
Restez baissé.	Fique abaixado.
Restez là !	Fique aqui !
Reste ici !	Fique aqui !
Restez ici.	Fique aqui.
Restez prudent.	Fique cuidadoso.
Restez prudents.	Fique cuidadoso.
Restez prudentes.	Fique cuidadoso.
Reste prudent.	Permanece cauteloso.
Reste prudente.	Permanece cauteloso.
Reste mince !	Fique magro!
Recule !	Voltar!
Reculez !	Retornar!
Arrêtez !	Pare!
Arrêtez ça !	Pare com isso!
Arrête ça !	Pare com isso !
Arrête ça !	Pare com isso !
Arrêtez-les.	Pare-os.
Prends bien soin de toi.	Cuide bem de você.
Prends soin de toi.	Tome cuidado.
Attention !	Aviso !
Faites attention !	Prestar atenção !
Prenez soin de vous.	Se cuida.
Prends soin de toi !	Tome cuidado !
Soyez prudente !	Tome cuidado !
Faites attention.	Prestar atenção.
Fais attention.	Tome cuidado.
Prends bien soin de toi.	Cuide bem de você.
Prends soin de toi.	Tome cuidado.
Prenez soin de vous.	Se cuida.
Prends soin de toi !	Tome cuidado !
Soyez prudente !	Tome cuidado !
Faites attention.	Prestar atenção.
Fais attention.	Tome cuidado.
Prends le mien.	Leve o meu.
Prends la mienne.	Leve o meu.
Prenez le mien.	Leve o meu.
Prenez la mienne.	Leve o meu.
Prends les miens.	Leve o meu.
Prends les miennes.	Leve o meu.
Prenez les miens.	Leve o meu.
Prenez les miennes.	Leve o meu.
Prenez le relais.	Tome o relé.
Prends le relais.	Tome o relé.
Prenez la relève.	Tome a sucessão.
Prends la relève.	Assumir sucessão.
Prends ça.	Pegue isso.
Prenez ça.	Pegue isso.
Prenez-le.	Pegue.
Je te remercie.	Eu que agradeço.
Merci !	Obrigado !
Je vous remercie.	Obrigada.
Merci.	Obrigada.
Il n'y a pas de problème.	Não há problema.
Pas de problème.	Sem problemas.
Ce n'est pas grave.	Isso não importa.
Ça va.	Como você está.
C'est ça.	É isso.
Et alors ?	E daí ?
Ils sont tombés.	Eles caíram.
Elles sont tombées.	Eles caíram.
Ils sont partis.	Eles saíram.
Elles sont parties.	Eles saíram.
Ils ont menti.	Eles mentiram.
Elles ont menti.	Eles mentiram.
Ils ont perdu.	Eles perderam.
Elles ont perdu.	Eles perderam.
Ils nageaient.	Eles estavam nadando.
Elles nageaient.	Eles estavam nadando.
Ils nagèrent.	Eles estavam nadando.
Elles nagèrent.	Eles estavam nadando.
Le temps est écoulé.	O tempo acabou.
Tom cuisine.	Tom cozinha.
Tom pleura.	Tom chorou.
Tom a fait de la plongée.	Tom tem mergulho.
Tom a tiré.	Tom tiro.
Tom va bien.	Tom está bem.
Tom est dedans.	Tom está nisso.
Tom est debout.	Tom está de pé.
Tom tricote.	Tom Kitote.
Tom sait.	Tom sabe.
Tom boite.	Caixa de tom.
Tom assure.	Tom assegura.
Tom a parlé.	Tom falou.
Tom essaie.	Tom tenta.
Tom essaye.	Tom tenta.
Tom choisissait.	Tom escolheu.
Tom a voté.	Tom votou.
Tom a fait signe de la main.	Salmentou a mão dele.
Tom est en train de travailler.	Tom está funcionando.
Tom travaille.	Tom funciona.
Tom est gros.	Tom é grande.
Tom est en colère.	Tom está com raiva.
Tom est fou.	Tom é louco.
Tom est triste.	Tom está triste.
Fais confiance à Tom.	Confie em Tom.
Faites confiance à Tom.	Confie em Tom.
Essaie encore.	Tente novamente.
Essayez de nouveau.	Tente novamente.
Essaie de nouveau.	Tente novamente.
Essaie-le !	Tente !
Tourne à gauche.	Vire a esquerda.
Déverrouillez-le.	Desbloqueá-lo.
Déverrouille-le.	Desbloqueá-lo.
Attends ici.	Espere aqui.
Attends là.	Espere aí.
Attendez ici.	Espere aqui.
Attendez là.	Espere aí.
Attention !	Aviso !
Faites attention !	Prestar atenção !
Fais attention !	Tome cuidado !
Fais attention.	Tome cuidado.
Bravo !	Bem feito !
Nous sommes tombés d'accord.	Nós concordamos.
Nous avons réussi !	Nós conseguimos!
Nous avons réussi !	Nós conseguimos!
Nous l'avons fait.	Conseguimos.
Nous avons oublié.	Nós esquecemos.
Nous l'avons vu.	Nós vimos isso.
Nous l'avons vue.	Nós vimos isso.
Nous avons souri.	Nós sorriu.
Nous discutâmes.	Nós discutimos.
Nous avons discuté.	Nós conversamos.
Nous nous sommes entretenus.	Nós falamos.
Nous nous sommes entretenues.	Nós falamos.
Nous nous entretînmes.	Estamos conversando um com o outro.
Nous attendîmes.	Nós esperamos.
Nous avons attendu.	Nós esperamos.
Nous sommes allés à pied.	Nós fomos a pé.
Nous sommes allées à pied.	Nós fomos a pé.
Nous essayerons.	Nós tentaremos.
Nous tenterons.	Nós tentaremos.
Nous l'emporterons.	Vamos levá-lo.
Nous gagnerons.	Nós ganhamos.
Nous avons chaud.	Estamos quentes.
Nous sommes tristes.	Estamos tristes.
Nous sommes timides.	Nós somos tímidos.
Bien vu !	Bem visto!
Bien cuit !	Bem feito !
À la bonne heure !	Tudo em bom tempo !
Bien joué !	Bom jogo !
Pas mal !	Nada mal !
C'est extra !	É ótimo !
Bravo !	Bem feito !
Bravo !	Bem feito !
Ça va ?	Como você está ?
Quoi de beau ?	E aí ?
Qu'y a-t-il ?	O que é ?
Qui s'en préoccupe ?	Quem está preocupado?
Qui s'en soucie ?	Quem se importa ?
À qui ceci importe-t-il ?	Quem é esse assunto?
Qui est-ce ?	Quem é esse ?
Qui est-il ?	Quem é ele ?
Qui est-ce ?	Quem é esse ?
Qui est-il ?	Quem é ele ?
Qui sait ?	Quem sabe ?
Qui a parlé ?	Quem falou ?
Qui ira ?	Quem irá ?
C’est qui, Tom ?	Quem, Tom?
Qui est malade ?	Quem está doente ?
Génial !	Incrível !
Super !	Excelente !
Excellent !	Excelente!
Magnifique !	Maravilhoso !
C'est merveilleux !	Isso é maravilhoso !
Quelle merveille !	Maravilhoso !
Formidable !	Excelente!
À la bonne heure !	Tudo em bom tempo !
Sensass !	Sensato!
Écrivez à Tom.	Escreva para Tom.
Tu conduis.	Você dirige.
Toi, conduis !	Você, dirigido!
Vous conduisez.	Você dirige.
Espèce d'imbécile !	Complete idiota!
Espèce d'idiot !	Seu idiota !
Idiote !	Idiota!
Tu commences.	Você começa.
Vous commencez.	Você começa.
Tu pues.	Você puxou.
Tu as essayé.	Você tentou.
Vous avez essayé.	Você tentou.
Tu vas bien.	Você está indo bem.
Chat !	!
Vise plus haut.	Alvos maiores.
Visez plus haut.	Aponte acima.
Tout le monde à bord!	Todo mundo a bordo!
Tout le monde à bord !	Todo mundo a bordo!
Suis-je clair ?	Estou limpo?
